dl	cp	de
Multi linguistic	Duplicate	Detection
Multi linguistic	Duplicate	Discovery
Multi linguistic	Plagiarism	Detection
Multi linguistic	Plagiarism	Discovery
Multi linguistic	Copy	Detection
Multi linguistic	Copy	Discovery
Multilingual	Duplicate	Detection
Multilingual	Duplicate	Discovery
Multilingual	Plagiarism	Detection
Multilingual	Plagiarism	Discovery
Multilingual	Copy	Detection
Multilingual	Copy	Discovery
Multilanguage	Duplicate	Detection
Multilanguage	Duplicate	Discovery
Multilanguage	Plagiarism	Detection
Multilanguage	Plagiarism	Discovery
Multilanguage	Copy	Detection
Multilanguage	Copy	Discovery
Cross lingual	Duplicate	Detection
Cross lingual	Duplicate	Discovery
Cross lingual	Plagiarism	Detection
Cross lingual	Plagiarism	Discovery
Cross lingual	Copy	Detection
Cross lingual	Copy	Discovery
Crosslinguistic	Duplicate	Detection
Crosslinguistic	Duplicate	Discovery
Crosslinguistic	Plagiarism	Detection
Crosslinguistic	Plagiarism	Discovery
Crosslinguistic	Copy	Detection
Crosslinguistic	Copy	Discovery
Multi language	Duplicate	Detection
Multi language	Duplicate	Discovery
Multi language	Plagiarism	Detection
Multi language	Plagiarism	Discovery
Multi language	Copy	Detection
Multi language	Copy	Discovery
Cross linguistic	Duplicate	Detection
Cross linguistic	Duplicate	Discovery
Cross linguistic	Plagiarism	Detection
Cross linguistic	Plagiarism	Discovery
Cross linguistic	Copy	Detection
Cross linguistic	Copy	Discovery
Multi lingual	Duplicate	Detection
Multi lingual	Duplicate	Discovery
Multi lingual	Plagiarism	Detection
Multi lingual	Plagiarism	Discovery
Multi lingual	Copy	Detection
Multi lingual	Copy	Discovery
Multilinguistic	Duplicate	Detection
Multilinguistic	Duplicate	Discovery
Multilinguistic	Plagiarism	Detection
Multilinguistic	Plagiarism	Discovery
Multilinguistic	Copy	Detection
Multilinguistic	Copy	Discovery
Machine translation	Duplicate	Detection
Machine translation	Duplicate	Discovery
Machine translation	Plagiarism	Detection
Machine translation	Plagiarism	Discovery
Machine translation	Copy	Detection
Machine translation	Copy	Discovery
Crosslanguage	Duplicate	Detection
Crosslanguage	Duplicate	Discovery
Crosslanguage	Plagiarism	Detection
Crosslanguage	Plagiarism	Discovery
Crosslanguage	Copy	Detection
Crosslanguage	Copy	Discovery
Crosslingual	Duplicate	Detection
Crosslingual	Duplicate	Discovery
Crosslingual	Plagiarism	Detection
Crosslingual	Plagiarism	Discovery
Crosslingual	Copy	Detection
Crosslingual	Copy	Discovery
Cross language	Duplicate	Detection
Cross language	Duplicate	Discovery
Cross language	Plagiarism	Detection
Cross language	Plagiarism	Discovery
Cross language	Copy	Detection
Cross language	Copy	Discovery
